CodigoNave,Viaje,CodigoPaisCarga,CodigoPuertoCarga,CodigoPaisDesCarga,CodigoPuertoDesCarga,fechaSalida,fechaLlegada
BOSC,439,PE,CLLO,ES,BELA,2023-10-29,2023-11-30
BOSC,439,CL,VARO,PE,CLLO,2023-10-15,2023-10-19
BOSC,439,PE,CLLO,CL,VARO,2023-10-20,2023-10-24
BOSC,447,ES,VENA2,PE,CLLO,2023-11-29,2023-12-23
BOSC,447,PE,CLLO,ES,VENA2,2023-12-24,2024-01-17
BOSC,447,CL,VARO,PE,CLLO,2023-12-10,2023-12-14
BOSC,447,PE,CLLO,CL,VARO,2023-12-15,2023-12-19
BOSC,503,CL,VARO,PE,CLLO,2024-02-04,2024-02-08
BOSC,503,PE,CLLO,CL,VARO,2024-02-09,2024-02-13
BOSC,5103,PA,CLON1,PE,CLLO,2024-02-12,2024-02-17
BOSC,5103,PE,CLLO,PA,CLON1,2024-02-18,2024-02-23
BOSC,511,ES,VENA2,PE,CLLO,2024-03-11,2024-04-13
BOSC,511,PE,CLLO,ES,VENA2,2024-04-14,2024-05-17
BOSC,511,PA,MANO,PE,CLLO,2024-04-07,2024-04-14
BOSC,511,PE,CLLO,PA,MANO,2024-04-14,2024-04-20
BOSC,511,CL,VARO,PE,CLLO,2024-03-31,2024-04-04
