CodigoNave,Viaje,Rumbo,CodigoPaisCarga,CodigoPuertoCarga,CodigoPaisDesCarga,CodigoPuertoDesCarga,fechaSalida,fechaLlegada,ClaveCarga,ClaveDesCarga,CodigoPuertoCargaAntiguo,CodigoPuertoDesCargaAntiguo
SANRE,507,S,PE,CLLO,CL,VARO,2024-03-08,2024-03-12,CLL|PE,VAP|CL,CLL,VAP
SANRE,515,N,ES,VENA2,PE,CLLO,2024-04-13,2024-05-11,VLC|ES,CLL|PE,VLC,CLL
SANRE,515,N,PE,CLLO,ES,VENA2,2024-05-12,2024-06-09,CLL|PE,VLC|ES,CLL,VLC
SANRE,515,S,CL,VARO,PE,CLLO,2024-04-28,2024-05-02,VAP|CL,CLL|PE,VAP,CLL
SANRE,515,S,PE,CLLO,CL,VARO,2024-05-03,2024-05-07,CLL|PE,VAP|CL,CLL,VAP
SANRE,523,S,CL,VARO,PE,CLLO,2024-06-23,2024-06-27,VAP|CL,CLL|PE,VAP,CLL
SANRE,523,S,PE,CLLO,CL,VARO,2024-06-28,2024-07-02,CLL|PE,VAP|CL,CLL,VAP
SANRE,3139,S,NL,RERM,PE,CLLO,2022-09-24,2022-10-20,RTM|NL,CLL|PE,RTM,CLL
SANRE,347,S,CL,VARO,PE,CLLO,2022-12-09,2022-12-15,VAP|CL,CLL|PE,VAP,CLL
SANRE,347,S,PE,CLLO,CL,VARO,2022-12-16,2022-12-22,CLL|PE,VAP|CL,CLL,VAP
SANRE,864,N,PA,MANO,PE,CLLO,2022-08-29,2022-09-03,MIT|PA,CLL|PE,MIT,CLL
SANRE,864,N,PE,CLLO,NL,RERM,2022-09-04,2022-09-23,CLL|PE,RTM|NL,CLL,RTM
SANRE,4127,N,DE,HBUG,PE,CLLO,2023-08-04,2023-08-05,HAM|DE,CLL|PE,HAM,CLL
SANRE,4127,N,PE,CLLO,DE,HBUG,2023-08-06,2023-08-30,CLL|PE,HAM|DE,CLL,HAM
SANRE,427,S,PE,CLLO,CL,VARO,2023-07-27,2023-07-30,CLL|PE,VAP|CL,CLL,VAP
SAUR,1,E,HK,HGKG,PE,CLLO,2023-09-21,2023-10-24,HKG|HK,CLL|PE,HKG,CLL
SAUR,439,E,CN,SNGI,PE,CLLO,2023-10-02,2023-10-25,SHA|CN,CLL|PE,SHA,CLL
SAUR,449,E,CN,NNGO,PE,CLLO,2023-12-06,2024-01-02,NGB|CN,CLL|PE,NGB,CLL
SAUR,449,E,HK,HGKG,CN,NNGO,2023-12-01,2023-12-02,HKG|HK,NGB|CN,HKG,NGB
SAUR,449,E,CN,SNGI,PE,CLLO,2024-02-07,2024-02-08,SHA|CN,CLL|PE,SHA,CLL
SAUR,517,E,KR,BSAN,PE,CLLO,2024-04-27,2024-05-21,PUS|KR,CLL|PE,PUS,CLL
SAUR,507,N,HK,HGKG,PE,CLLO,2024-02-03,2024-03-12,HKG|HK,CLL|PE,HKG,CLL
SAUR,507,N,PE,CLLO,HK,HGKG,2024-03-13,2024-04-20,CLL|PE,HKG|HK,CLL,HKG
SDBR,610,E,KR,BSAN,PE,CLLO,2022-07-26,2022-08-21,PUS|KR,CLL|PE,PUS,CLL
SDBR,610,E,TW,KLUG,KR,BSAN,2022-07-21,2022-07-26,KEL|TW,PUS|KR,KEL,PUS
SDBR,1010,E,CN,QGDO,PE,CLLO,2023-05-26,2023-06-24,TAO|CN,CLL|PE,TAO,CLL
SDBR,1010,E,SG,SAPE,CN,QGDO,2023-05-22,2023-05-26,SIN|SG,TAO|CN,SIN,TAO
SDBR,1403,E,CN,DANY,HK,HGKG,2024-02-06,2024-02-06,DCB|CN,HKG|HK,DCB,HKG
SDBR,1403,E,CN,JNGN1,CN,DANY,2024-01-28,2024-02-05,JMN|CN,DCB|CN,JMN,DCB
SDBR,1403,E,CN,NNGO,PE,CLLO,2024-02-12,2024-03-10,NGB|CN,CLL|PE,NGB,CLL
SDBR,1403,E,CN,SNGI,CN,NNGO,2024-02-10,2024-02-11,SHA|CN,NGB|CN,SHA,NGB
SDBR,1403,E,HK,HGKG,CN,SNGI,2024-02-07,2024-02-08,HKG|HK,SHA|CN,HKG,SHA
SDBR,1503,E,CN,SNGI,KR,BSAN,2024-04-28,2024-04-30,SHA|CN,PUS|KR,SHA,PUS
