CodigoPuerto,CodigoPais,NombrePuerto,TipoTransporte,EsPuertoLocal,NombreAntiguo,CodAntiguo
KLUG,TW,KEELUNG,M,0,KEELUNG,KEL
KPTN,DE,KEMPTEN,M,0,KEMPTEN,KEN
KFEG,CN,KAIFENG,M,0,KAIFENG,KFG
KGAI,RW,KIGALI,M,0,KIGALI,KGL
KHIG,TW,KAOSHIUNG,M,0,KAOSHIUNG,KHH
KACI,PK,KARACHI,M,0,KARACHI,KHI
NCHG,CN,NANCHANG,M,0,NANCHANG,KHN
KISD,IR,KISHISLAND,M,0,KISH ISLAND,KIH
KGSN,JM,KINGSTON,A,0,KINGSTON,KIN
KSUU,KE,KISUMU,M,0,KISUMU,KIS
KTWE,ZM,KITWE,M,0,KITWE,KIW
KIYN,CN,KAIYUN,M,0,KAIYUN,KIY
KPAA,UG,KAMPALA,M,0,KAMPALA,KLA
KIPA,LT,KLAIPEDA,M,0,KLAIPEDA,KLJ
KSLN,DE,KAISERSLAUTERN,M,0,KAISERSLAUTERN,KLT
KMAO,US,KALAMAZOO,M,0,KALAMAZOO,KLZ
KAMO,JP,KUMAMOTO,M,0,KUMAMOTO,KMJ
KAZA,JP,KANAZAWA,M,0,KANAZAWA,KNZ
KKOA,FI,KOKKOLA,M,0,KOKKOLA,KOK
KKUA,JP,KOKURA,M,0,KOKURA,KOK
KDIG,DK,KOLDING,M,0,KOLDING,KOL
KSAV,RU,KORSAKOV,M,0,KORSAKOV,KOR
KPIG,CN,KAIPING,M,0,KAIPING,KPN
KAKW,PL,KRAKOW,M,0,KRAKOW,KRK
KIAD,NO,KRISTIANSAND,M,0,KRISTIANSAND,KRS
KRTM,SD,KHARTOUM,M,0,KHARTOUM,KRT
KTKA,FI,KOTKA,M,0,KOTKA,KTK
KSTN,VC,KINGSTOWN,M,0,KINGSTOWN,KTN
KBET,BN,KUALABELAIT,M,0,KUALA BELAIT,KUB
KLUR,MY,KUALALUMPUR,A,0,KUALA LUMPUR,KUL
KUNS,LT,KAUNAS,M,0,KAUNAS,KUN
KOPO,FI,KUOPIO,M,0,KUOPIO,KUO
KSHN,CN,KUNSHAN,M,0,KUNSHAN,KUS
KIEG,PG,KAVIENG,M,0,KAVIENG,KVG
KWAT,KW,KUWAIT,M,0,KUWAIT,KWI
GILN,CN,GUILIN,M,0,GUILIN,KWL
LANA,AO,LUANDA,M,0,LUANDA,LAD
LAEX,PG,LAE,M,0,LAE,LAE
LUAA,VE,LAGUAIRA,M,0,LA GUAIRA,LAG
LZHU,CN,LAIZHOU,M,0,LAIZHOU,LAI
LVES,US,LASVEGAS,A,0,LAS VEGAS,LAS
LSAE,CH,LAUSANNE,M,0,LAUSANNE,LAU
LNGS,US,LOSANGELES,A,0,LOS ANGELES,LAX
LELA,US,"LOSANGELES,CA",M,0,"LOS ANGELES ,CA",LAX
LBEK,DE,LÜBECK,M,0,LÜBECK,LBC
LANI,MY,LABUANHAJI,M,0,LABUAN HAJI,LBH
LEVE,GA,LIBREVILLE,M,0,LIBREVILLE,LBV
LNAA,CY,LARNACA,M,0,LARNACA,LCA
